ID,Input,Output,Food Bank Name
A0026,"4th Mon 8:30am-4:30pm, Tue after 4th Mon 11am-12pm","Monday,8:30,16:30,,,,,,,4.0,Day of Month,,,;Tuesday,11:00,12:00,,,,,After the 4th Monday Only,,,Weekly,,,",Central Illinois
A0027,"M-F 9-11am, except Thursdays","Monday,9:00,11:00,,,,,,,,Weekly,,,;Tuesday,9:00,11:00,,,,,,,,Weekly,,,;Wednesday,9:00,11:00,,,,,,,,Weekly,,,;Friday,9:00,11:00,,,,,,,,Weekly,,,",Central Illinois
A0028,"M,W, F, 9am-11:30am & 12:30pm-4pm","Monday,9:00,11:30,12:30,16:00,,,,,,Weekly,,,;Wednesday,9:00,11:30,12:30,16:00,,,,,,Weekly,,,;Friday,9:00,11:30,12:30,16:00,,,,,,Weekly,,,",Central Illinois
A0029,"Mon 2-3:30pm, Wed. 9-11:30am; Fri 2-3:30pm","Monday,14:00,15:30,,,,,,,,Weekly,,,;Wednesday,9:00,11:30,,,,,,,,Weekly,,,;Friday,14:00,15:30,,,,,,,,Weekly,,,",Central Illinois
A0031,Wed 9am-12pm and 1pm to 4pm,"Wednesday,9:00,12:00,13:00,16:00,,,,,,Weekly,,,",Central Illinois
A0032,No distribution hours; Hours of operation M - F 5 am - 1 pm,",,,,,,,,,,,,,",Central Illinois
A0033,NA,",,,,,,,,,,,,,",Central Illinois
A0035,Tues & Sat 9-2pm; Thursday 12-6pm.,"Tuesday,9:00,14:00,,,,,,,,Weekly,,,;Thursday,12:00,18:00,,,,,,,,Weekly,,,;Saturday,9:00,14:00,,,,,,,,Weekly,,,",Central Illinois
A0036,NA,",,,,,,,,,,,,,",Central Illinois
A0037,NA,",,,,,,,,,,,,,",Central Illinois
A0038,Fri. 8am-3pm,"Friday,8:00,15:00,,,,,,,,Weekly,,,",Central Illinois
A0039,NA,",,,,,,,,,,,,,",Central Illinois
A0040,Monday - Friday 8 am - 5 pm,"Monday,8:00,17:00,,,,,,,,Weekly,,,;Tuesday,8:00,17:00,,,,,,,,Weekly,,,;Wednesday,8:00,17:00,,,,,,,,Weekly,,,;Thursday,8:00,17:00,,,,,,,,Weekly,,,;Friday,8:00,17:00,,,,,,,,Weekly,,,",Central Illinois
A0041,Every 3rd Saturday,"Saturday,,,,,,,,,3.0,Day of Month,,,",Central Illinois
A0042,Mon 5-7pm (5-6:30pm in the winter),"Monday,17:00,19:00,,,,,5-6:30pm in the winter,,,Weekly,,,",Central Illinois
A0171,Sat 9:30am-11am,"Saturday,9:30,11:00,,,,,,,,Weekly,,,",Central Illinois
A0044,"T 4pm-6pm, W 12pm-2pm, last Sat 8:30am-12pm (perishable items available TWTh 10am-12pm, if available)","Tuesday,10:00,12:00,16:00,18:00,,,Perishable items available 10am-12pm, if available,,,Weekly,,,;Wednesday,10:00,12:00,12:00,14:00,,,Perishable items available 10am-12pm, if available,,,,,,;Thursday,10:00,12:00,,,,,Perishable items available 10am-12pm, if available,,,,,,;Saturday,8:30,12:00,,,,,Last Saturday Of Month Only,,,Weekly,,,",Central Illinois
A0045,Last Saturday 12pm-1pm,"Saturday,12:00,13:00,,,,,Last Saturday Of Month Only,,,Weekly,,,",Central Illinois
A0046,NA,"Thursday,,,,,,,,,,,,,",Central Illinois
A0047,Thurs 1pm-4pm; Fri 9am-12pm,"Thursday,13:00,16:00,,,,,,,,Weekly,,,;Friday,9:00,12:00,,,,,,,,Weekly,,,",Central Illinois
A0048,Wednesday 11-1 pm,"Wednesday,11:00,13:00,,,,,,,,Weekly,,,",Central Illinois
A0049,Wednesdays 6-6:45pm,"Wednesday,18:00,18:45,,,,,,,,Weekly,,,",Central Illinois
A0182,M-Thur 9AM-3PM,"Monday,9:00,15:00,,,,,,,,Weekly,,,;Tuesday,9:00,15:00,,,,,,,,Weekly,,,;Wednesday,9:00,15:00,,,,,,,,Weekly,,,;Thursday,9:00,15:00,,,,,,,,Weekly,,,",Central Illinois
A0052,Every other Tues 6-7:30PM,"Tuesday,18:00,19:30,,,,,,,,Every Other Week,,,",Central Illinois
A0053,3rd Sat 10-11:30AM,"Saturday,10:00,11:30,,,,,,,3.0,Day of Month,,,",Central Illinois
A0055,Tues & Thurs 9am - 11:45am,"Tuesday,9:00,11:45,,,,,,,,Weekly,,,;Thursday,9:00,11:45,,,,,,,,Weekly,,,",Central Illinois
A0266,Every Sat. 9am-10am,"Saturday,9:00,10:00,,,,,,,,Weekly,,,",Central Illinois
A0056,"M-F 8am - 11am, 1:30 -3 pm","Monday,8:00,11:00,13:30,15:00,,,,,,Weekly,,,;Tuesday,8:00,11:00,13:30,15:00,,,,,,Weekly,,,;Wednesday,8:00,11:00,13:30,15:00,,,,,,Weekly,,,;Thursday,8:00,11:00,13:30,15:00,,,,,,Weekly,,,;Friday,8:00,11:00,13:30,15:00,,,,,,Weekly,,,",Central Illinois
A0057,NA,",,,,,,,,,,,,,",Central Illinois
A0061,NA,",,,,,,,,,,,,,",Central Illinois
A0058,M-T-Thur 11AM-1PM,"Monday,11:00,13:00,,,,,,,,Weekly,,,;Tuesday,11:00,13:00,,,,,,,,Weekly,,,;Thursday,11:00,13:00,,,,,,,,Weekly,,,",Central Illinois
A0059,3rd and 4th Sat. in Nov and Dec 9:30- 11:30am,"Saturday,9:30,11:30,,,,,Only open in November,,4.0,Day of Month,,,",Central Illinois
A0256,NA,",,,,,,,,,,,,,",Central Illinois
A0063,2nd Tue 10AM-12PM 4th Mon 10AM-11AM,"Monday,10:00,11:00,,,,,,,2.0,Day of Month,,,;Tuesday,10:00,12:00,,,,,,,4.0,Day of Month,,,",Central Illinois
A0064,2nd & 4th Sat 10am-12pm 3rd Thursday 6:30pm-8:30pm,"Thursday,6:30,8:30,,,,,,,3.0,Day of Month,,,;Saturday,10:00,12:00,,,,,,,2.0,Day of Month,,,;Saturday,10:00,12:00,,,,,,,4.0,Day of Month,,,",Central Illinois
A0065,Every Saturday 8am-10am,"Saturday,8:00,10:00,,,,,,,,Weekly,,,",Central Illinois
A0066,Monday - Friday 8 am - 4 pm,"Monday,8:00,16:00,,,,,,,,Weekly,,,;Tuesday,8:00,16:00,,,,,,,,Weekly,,,;Wednesday,8:00,16:00,,,,,,,,Weekly,,,;Thursday,8:00,16:00,,,,,,,,Weekly,,,;Friday,8:00,16:00,,,,,,,,Weekly,,,",Central Illinois
A0069,"Sun 10am-1pm on drill weekends, 1st Thur 12pm-1pm for community veterans","Thursday,12:00,13:00,,,,,Community Veterans Only,,1.0,Day of Month,,,",Central Illinois
A0070,"1st Thursday 6-8, 3rd Saturday 8-10","Thursday,18:00,20:00,,,,,,,1.0,Day of Month,,,;Saturday,20:00,22:00,,,,,,,3.0,Day of Month,,,",Central Illinois
A0081,"Mon, Wed, Fri, 9-12pm & usually the 3rd Wed 2:30-5pm","Monday,9:00,12:00,,,,,,,,Weekly,,,;Wednesday,9:00,12:00,,,,,,,,Weekly,,,;Friday,9:00,12:00,,,,,,,,Weekly,,,;Wednesday,14:30,17:00,,,,,,,3.0,Day of Month,,,",Central Illinois
A0082,NA,",,,,,,,,,,,,,",Central Illinois
A0083,First or second Saturday of the month 10:30 am - 12 pm,"Saturday,10:30,12:00,,,,,,,1.0,Day of Month,,,",Central Illinois
A0084,Monday and Thursday 2pm-4pm + Sunday 10:30am-12:30pm ,"Monday,10:30,12:30,,,,,,,,Weekly,,,;Thursday,10:30,12:30,,,,,,,,Weekly,,,;Sunday,14:00,16:00,,,,,,,,Weekly,,,",Central Illinois
A0087,M-F 9-11:30 am,"Monday,9:00,11:30,,,,,,,,Weekly,,,;Tuesday,9:00,11:30,,,,,,,,Weekly,,,;Wednesday,9:00,11:30,,,,,,,,Weekly,,,;Thursday,9:00,11:30,,,,,,,,Weekly,,,;Friday,9:00,11:30,,,,,,,,Weekly,,,",Central Illinois
A0264,3rd Saturday - 9am-11am,"Saturday,9:00,11:00,,,,,,,3.0,Day of Month,,,",Central Illinois
A0089,2nd Sat 8-10AM,"Saturday,8:00,10:00,,,,,,,2.0,Day of Month,,,",Central Illinois
A0090,Mon-Fri 9-12pm Third Thurs 5:30-6:30pm,"Monday,9:00,12:00,,,,,,,,Weekly,,,;Tuesday,9:00,12:00,,,,,,,,Weekly,,,;Wednesday,9:00,12:00,,,,,,,,Weekly,,,;Thursday,9:00,12:00,,,,,,,,Weekly,,,;Thursday,17:30,18:30,,,,,,,3.0,Day of Month,,,;Friday,9:00,12:00,,,,,,,,Weekly,,,",Central Illinois
A0214,NA,",,,,,,,,,,,,,",Central Illinois
A0094,"Tues 9-11am, Thur 2-4pm","Tuesday,9:00,11:00,,,,,,,,Weekly,,,;Thursday,14:00,16:00,,,,,,,,Weekly,,,",Central Illinois
A0257,Tues-Fri 10-2  Wed 8:30p-9p Sun 1p-3p,"Tuesday,10:00,14:00,,,,,,,,Weekly,,,;Wednesday,10:00,14:00,20:30,21:00,,,,,,Weekly,,,;Thursday,10:00,14:00,,,,,,,,Weekly,,,;Friday,10:00,14:00,,,,,,,,Weekly,,,;Sunday,13:00,15:00,,,,,,,,Weekly,,,",Central Illinois
A0096,Every Wednesday 5-7pm,"Wednesday,17:00,19:00,,,,,,,,Weekly,,,",Central Illinois
A0098,Every Tuesday 9 am - 11 am,"Tuesday,9:00,11:00,,,,,,,,Weekly,,,",Central Illinois
A0099,Th 10am-2pm,"Thursday,10:00,14:00,,,,,,,,Weekly,,,",Central Illinois
A0100,NA - Womens Shelter,",,,,,,,Womens Shelter,,,,,,",Central Illinois
A0102,Tues. 4:30-6:30pm ,"Tuesday,16:30,18:30,,,,,,,,Weekly,,,",Central Illinois
A0103,NA,",,,,,,,,,,,,,",Central Illinois
A0104,2nd and 4th Wednesdays 1-3pm,"Wednesday,13:00,15:00,,,,,,,2.0,Day of Month,,,;Wednesday,13:00,15:00,,,,,,,4.0,Day of Month,,,",Central Illinois
A0105,2nd & 4th Wed. 9am to 11am,"Wednesday,9:00,11:00,,,,,,,2.0,Day of Month,,,;Wednesday,9:00,11:00,,,,,,,4.0,Day of Month,,,",Central Illinois
A0106,Every Wednesday 1-2:30 pm,"Wednesday,13:00,14:30,,,,,,,,Weekly,,,",Central Illinois
A0107,7 days a week 8 am - dusk,",,,,,,,,,,,,,",Central Illinois
A0108,"Wed & Thurs 9-11 am and 1-3pm, Fri 9-11am","Wednesday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Thursday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Friday,9:00,11:00,,,,,,,,Weekly,,,",Central Illinois
A0111,Mon & Wed 10am-11:30am,"Monday,10:00,11:30,,,,,,,,Weekly,,,;Wednesday,10:00,11:30,,,,,,,,Weekly,,,",Central Illinois
A0112,Second Saturday 9am-11:30am,"Saturday,9:00,11:30,,,,,,,2.0,Day of Month,,,",Central Illinois
A0114,Monday and Thursday 5pm -7pm,"Monday,17:00,19:00,,,,,,,,Weekly,,,;Thursday,17:00,19:00,,,,,,,,Weekly,,,",Central Illinois
A0115,1st Tuesday 3:30-5pm ,"Thursday,15:30,17:00,,,,,,,1.0,Day of Month,,,",Central Illinois
A0116,3rd Mon 6pm-8pm,"Monday,18:00,20:00,,,,,,,3.0,Day of Month,,,",Central Illinois
A0117,4th Wed. 12-3pm,"Wednesday,12:00,15:00,,,,,,,4.0,Day of Month,,,",Central Illinois
A0118,1st 4 Tues 8:30-10:30AM 1st Sat 9-10AM,"Tuesday,8:30,10:30,,,,,,,1.0,Day of Month,,,;Tuesday,8:30,10:30,,,,,,,4.0,Day of Month,,,;Saturday,9:00,10:00,,,,,,,1.0,Day of Month,,,",Central Illinois
A0119,"M, T, TH & F 9-11, 12-2:30","Monday,9:00,11:00,12:00,14:30,,,,,,Weekly,,,;Tuesday,9:00,11:00,12:00,14:30,,,,,,Weekly,,,;Thursday,9:00,11:00,12:00,14:30,,,,,,Weekly,,,;Friday,9:00,11:00,12:00,14:30,,,,,,Weekly,,,",Central Illinois
A0120,2nd Sat. 7am-9am,"Saturday,7:00,9:00,,,,,,,2.0,Day of Month,,,",Central Illinois
A0258,2nd Thursday 10-11:30am,"Thursday,10:00,11:30,,,,,,,2.0,Day of Month,,,",Central Illinois
A0121,"M, W, F 11:30 am - 12:30 pm","Monday,11:30,12:30,,,,,,,,Weekly,,,;Wednesday,11:30,12:30,,,,,,,,Weekly,,,;Friday,11:30,12:30,,,,,,,,Weekly,,,",Central Illinois
A0262,3rd Thursday 2-4pm,"Thursday,14:00,16:00,,,,,,,3.0,Day of Month,,,",Central Illinois
A0122,NA,",,,,,,,,,,,,,",Central Illinois
A0123,Last Saturday 10am-12pm,"Saturday,10:00,12:00,,,,,Last Saturday of Month Only,,,Weekly,,,",Central Illinois
A0124,Sat 8:30AM-10:30AM,"Saturday,8:30,10:30,,,,,,,,Weekly,,,",Central Illinois
A0125,"M,W,F 1pm-3pm","Monday,13:00,15:00,,,,,,,,Weekly,,,;Wednesday,13:00,15:00,,,,,,,,Weekly,,,;Friday,13:00,15:00,,,,,,,,Weekly,,,",Central Illinois
A0267,2nd Monday of the month,"Monday,,,,,,,,,2.0,Day of Month,,,",Central Illinois
A0126,"M, W, F 9-3","Monday,9:00,15:00,,,,,,,,Weekly,,,;Wednesday,9:00,15:00,,,,,,,,Weekly,,,;Friday,9:00,15:00,,,,,,,,Weekly,,,",Central Illinois
A0127,NA,",,,,,,,,,,,,,",Central Illinois
A0128,NA,",,,,,,,,,,,,,",Central Illinois
A0129,Not open to public,",,,,,,,,,,,,,",Central Illinois
A0130,Tuesdays 4-6pm,"Tuesday,16:00,18:00,,,,,,,,Weekly,,,",Central Illinois
A0246,Saturdays 11am-2pm,"Saturday,11:00,14:00,,,,,,,,Weekly,,,",Central Illinois
A0132,NA,",,,,,,,,,,,,,",Central Illinois
A0133,1st and 3rd Thuraday of the month 8am-10am,"Thursday,8:00,10:00,,,,,,,1.0,Day of Month,,,;Thursday,8:00,10:00,,,,,,,3.0,Day of Month,,,",Central Illinois
A0134,"Tues,Thurs, 9-1;30 Mon,Wed 9-2","Monday,9:00,14:00,,,,,,,,Weekly,,,;Tuesday,9:00,13:30,,,,,,,,Weekly,,,;Wednesday,9:00,14:00,,,,,,,,Weekly,,,;Thursday,9:00,13:30,,,,,,,,Weekly,,,",Central Illinois
A0135,Tuesday-Thursday 5-7pm & Saturday 8-10am,"Tuesday,17:00,19:00,,,,,,,,Weekly,,,;Wednesday,17:00,19:00,,,,,,,,Weekly,,,;Thursday,17:00,19:00,,,,,,,,Weekly,,,;Saturday,8:00,10:00,,,,,,,,Weekly,,,",Central Illinois
A0136,Pantry: Mon-Fri 9am-11am & 1pm-3pm; Kitchen: Mon-Fri 11:45am-12:30 pm,"Monday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Tuesday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Wednesday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Thursday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,;Friday,9:00,11:00,13:00,15:00,,,,,,Weekly,,,",Central Illinois
A0137,"Monday, Wednesday, Friday 9am - 3pm","Monday,9:00,15:00,,,,,,,,Weekly,,,;Wednesday,9:00,15:00,,,,,,,,Weekly,,,;Friday,9:00,15:00,,,,,,,,Weekly,,,",Central Illinois
A0138,"24/7 (Shelter), M-F 9am-12pm ","Monday,9:00,12:00,,,,,,,,Weekly,,,;Tuesday,9:00,12:00,,,,,,,,Weekly,,,;Wednesday,9:00,12:00,,,,,,,,Weekly,,,;Thursday,9:00,12:00,,,,,,,,Weekly,,,;Friday,9:00,12:00,,,,,,,,Weekly,,,",Central Illinois
A0139,M-F 10AM-12PM,"Monday,10:00,12:00,,,,,,,,Weekly,,,;Tuesday,10:00,12:00,,,,,,,,Weekly,,,;Wednesday,10:00,12:00,,,,,,,,Weekly,,,;Thursday,10:00,12:00,,,,,,,,Weekly,,,;Friday,10:00,12:00,,,,,,,,Weekly,,,",Central Illinois
A0141,"2nd Wednesday Foodbank delivery, distribution is the following Saturday 7:30am to 9:30am","Saturday,7:30,9:30,,,,,,,2.0,Day of Month,,,",Central Illinois
A0142,4th Thursday 8am-10:30am except Nov & Dec.,"Thursday,8:00,10:30,,,,,Except in November and December,,4.0,Day of Month,,,",Central Illinois
A0143,Meals on Wheels M - F beginning at 10:30 am; M - F 7:30 am - 4 pm (open hours),"Monday,7:30,16:00,,,,,,,,Weekly,,,;Tuesday,7:30,16:00,,,,,,,,Weekly,,,;Wednesday,7:30,16:00,,,,,,,,Weekly,,,;Thursday,7:30,16:00,,,,,,,,Weekly,,,",Central Illinois
A0145,Mon & Thur 10am - 12pm,"Monday,10:00,12:00,,,,,,,,Weekly,,,;Thursday,10:00,12:00,,,,,,,,Weekly,,,",Central Illinois
A0261,NA - Must be a patient ,",,,,,,,,,,,,,",Central Illinois
A0146,24 hour shelter,",,,,,,,Open 24 hours, please call for assistance,,,Call for Information,,,",Central Illinois
A0148,NA,",,,,,,,,,,,,,",Central Illinois
A0149,Mon 10am-12pm; Wed 6am-2pm; Th 10:30am-12:30pm,"Monday,10:00,12:00,,,,,,,,Weekly,,,;Wednesday,6:00,14:00,,,,,,,,Weekly,,,;Thursday,10:30,12:30,,,,,,,,Weekly,,,",Central Illinois
A0150,"Monday 10-11 am, 5:30-6:30 pm","Monday,10:00,11:00,17:30,18:30,,,,,,Weekly,,,",Central Illinois
A0151,"Mon-Fri 8am-9am, 10:30am-1:30pm, Sat-Sun 10:30-1:30pm","Monday,8:00,9:00,10:30,13:30,,,,,,Weekly,,,;Tuesday,8:00,9:00,10:30,13:30,,,,,,Weekly,,,;Wednesday,8:00,9:00,10:30,13:30,,,,,,Weekly,,,;Thursday,8:00,9:00,10:30,13:30,,,,,,Weekly,,,;Friday,8:00,9:00,10:30,13:30,,,,,,Weekly,,,;Saturday,10:30,13:30,,,,,,,,Weekly,,,;Sunday,10:30,13:30,,,,,,,,Weekly,,,",Central Illinois
A0152,"Wed, Thurs, Sat 7:30-10:30 am","Wednesday,7:30,10:30,,,,,,,,Weekly,,,;Thursday,7:30,10:30,,,,,,,,Weekly,,,;Saturday,7:30,10:30,,,,,,,,Weekly,,,",Central Illinois
A0067,"Tues 9:30-11:30am, Wed 5-7:pm","Tuesday,9:30,11:30,,,,,,,,Weekly,,,;Wednesday,17:00,19:00,,,,,,,,Weekly,,,",Central Illinois
A0154,Thursday 5-6 pm; Sunday 1-2:15 pm,"Thursday,17:00,18:00,,,,,,,,Weekly,,,;Sunday,13:00,14:15,,,,,,,,Weekly,,,",Central Illinois
A0155,Open 9 am - 11am every Saturday,"Saturday,9:00,11:00,,,,,,,,Weekly,,,",Central Illinois
A0156,"Tues 8:30-10a, Thur 5:30-7p, Sat 8:30-9:30a","Tuesday,8:30,10:00,,,,,,,,Weekly,,,;Thursday,17:30,19:00,,,,,,,,Weekly,,,;Saturday,8:30,9:30,,,,,,,,Weekly,,,",Central Illinois
A0159,NA - Family program,",,,,,,,,,,,,,",Central Illinois
A0160,Wed 10am-12pm + 1st Wednesday 6pm-7pm,"Wednesday,10:00,12:00,,,,,,,,Weekly,,,;Wednesday,18:00,19:00,,,,,,,1.0,Day of Month,,,",Central Illinois
A0216,NA,",,,,,,,,,,,,,",Central Illinois
A0163,NA,",,,,,,,,,,,,,",Central Illinois
A0164,NA,",,,,,,,,,,,,,",Central Illinois
A0165,2nd Sat 10am-12pm,"Saturday,10:00,12:00,,,,,,,2.0,Day of Month,,,",Central Illinois
A0166,2nd Tuesday 12pm-2pm,"Tuesday,12:00,14:00,,,,,,,2.0,Day of Month,,,",Central Illinois
A0168,NA,",,,,,,,,,,,,,",Central Illinois
A0169,Mon-Thurs 10am-5pm (or Mon-Fri in summer),"Monday,10:00,17:00,,,,,,,,Weekly,,,;Tuesday,10:00,17:00,,,,,,,,Weekly,,,;Wednesday,10:00,17:00,,,,,,,,Weekly,,,;Thursday,10:00,17:00,,,,,,,,Weekly,,,;Friday,10:00,17:00,,,,,Summer's only,,,Weekly,,,",Central Illinois
P001,3rd Sunday 1:00 p.m. - 2:30 p.m. ,"Program,Sunday,13:00,14:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P002,3rd Wednesday 10:00 a.m. - 11:30 a.m. ,"Program,Wednesday,10:00,11:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P003,Monday - Friday 8:00-4:00 p.m. ,"Program,Monday,8:00,16:00,,,,,,,,Weekly,,,;Program,Tuesday,8:00,16:00,,,,,,,,Weekly,,,;Program,Wednesday,8:00,16:00,,,,,,,,Weekly,,,;Program,Thursday,8:00,16:00,,,,,,,,Weekly,,,;Program,Friday,8:00,16:00,,,,,,,,Weekly,,,",Baton Rouge
P004,2nd & 4th Wednesday 9:00 a.m. -11:00 a.m.,"Program,Wednesday,9:00,11:00,,,,,,,2.0,Day of Month,,,;Program,Wednesday,9:00,11:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P005,"Every Tues, Wed, & Thurs. 10:00 a.m. - 12:30 p.m.","Program,Tuesday,10:00,12:30,,,,,,,,Weekly,,,;Program,Wednesday,10:00,12:30,,,,,,,,Weekly,,,;Program,Thursday,10:00,12:30,,,,,,,,Weekly,,,",Baton Rouge
P006,"2nd Friday/ 2nd Saturday of month, 8:00 a.m. - 11:00 a.m.","Program,Saturday,8:00,11:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P007,3rd Saturday 8:00-10:00 a.m. ,"Program,Saturday,8:00,10:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P008,3rd Saturday 9:00 a.m. - 12:00 p.m. ,"Program,Saturday,9:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P009,1st and 3rd Monday 7:30 a.m. - 9:00 a.m.,"Program,Monday,7:30,9:00,,,,,,,1.0,Day of Month,,,;Program,Monday,7:30,9:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P010,3rd Wednesday 9:00 a.m. - 2:00 p.m.,"Program,Wednesday,9:00,14:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P011,1st Saturday 8:00-12:00 p.m. ,"Program,Saturday,8:00,12:00,,,,,,,1.0,Day of Month,,,",Baton Rouge
P012,Monday - Friday 8:00 a.m. - 4:00 p.m. Pantry closed 3rd Wed - Fri.,"Program,Monday,8:00,16:00,,,,,,,,Weekly,,,;Program,Tuesday,8:00,16:00,,,,,,,,Weekly,,,;Program,Wednesday,8:00,16:00,,,,,Pantry closed 3rd Wednesday of the month.,,,Weekly,,,;Program,Thursday,8:00,16:00,,,,,Pantry closed 3rd Thursday of the month.,,,Weekly,,,;Program,Friday,8:00,16:00,,,,,Pantry closed 3rd Friday of the month.,,,Weekly,,,",Baton Rouge
P013,"Tues., Wed., & Thurs. 9:00 a.m. - 4:00 p.m.  ","Program,Tuesday,9:00,16:00,,,,,,,,Weekly,,,;Program,Wednesday,9:00,16:00,,,,,,,,Weekly,,,;Program,Thursday,9:00,16:00,,,,,,,,Weekly,,,",Baton Rouge
P014,Monday - Thursday 8:00 a.m. - 3:00 p.m. & Friday 8:00 a.m. - 12 p.m. ,"Program,Monday,8:00,15:00,,,,,,,,Weekly,,,;Program,Tuesday,8:00,15:00,,,,,,,,Weekly,,,;Program,Wednesday,8:00,15:00,,,,,,,,Weekly,,,;Program,Thursday,8:00,15:00,,,,,,,,Weekly,,,;Program,Friday,8:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P015,7 Days a week ,"Program,,,,,,,,24/7 Emergency Assistance,,,Call for Information,,,",Baton Rouge
P016,2nd Friday 8:00 a.m. - 10:00 a.m.,"Program,Friday,8:00,10:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P017,"Distribution 1st, 2nd, & 3rd Tuesday - Friday of the month 9:30 a.m. -11:30 a.m. & 1:30-3:30pm. Distributes perishable goods to patrons of the Senior Center 60 and older. ","Program,Tuesday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,1.0,Day of Month,,,;Program,Tuesday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,2.0,Day of Month,,,;Program,Tuesday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,3.0,Day of Month,,,;Program,Friday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,1.0,Day of Month,,,;Program,Friday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,2.0,Day of Month,,,;Program,Friday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,3.0,Day of Month,,,",Baton Rouge
P018,3rd Wednesday 8:00 a.m. - 12:00 p.m.,"Program,Wednesday,8:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P019,Monday - Thursday 9:00 a.m. -1:30 p.m. / Friday 9:30 a.m. - 11:30 a.m. ,"Program,Monday,9:00,13:30,,,,,,,,Weekly,,,;Program,Tuesday,9:00,13:30,,,,,,,,Weekly,,,;Program,Wednesday,9:00,13:30,,,,,,,,Weekly,,,;Program,Thursday,9:00,13:30,,,,,,,,Weekly,,,;Program,Friday,9:30,11:30,,,,,,,,Weekly,,,",Baton Rouge
P020,Monday & Wednesday every week 11:00 a.m. - 12:00 p.m. ,"Program,Monday,11:00,12:00,,,,,,,,Weekly,,,;Program,Wednesday,11:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P021,Every Thursday 8:00 a.m. - 4:00 p.m.,"Program,Thursday,8:00,16:00,,,,,,,,Weekly,,,",Baton Rouge
P022,2nd Tuesday 8:00 a.m. - 9:00 a.m.,"Program,Tuesday,8:00,9:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P023,2nd and 4th Monday 11:00 a.m. - 12:00 p.m.,"Program,Monday,11:00,12:00,,,,,,,2.0,Day of Month,,,;Program,Monday,11:00,12:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P024,2nd and 4th Wednesday 8:00 a.m. - 10:30 a.m.,"Program,Wednesday,8:00,10:30,,,,,,,2.0,Day of Month,,,;Program,Wednesday,8:00,10:30,,,,,,,4.0,Day of Month,,,",Baton Rouge
P025,Monday and Friday 10:00 a.m. -12:00 p.m. ,"Program,Monday,10:00,12:00,,,,,,,,Weekly,,,;Program,Friday,10:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P026,1st Wednesday 9:00 a.m. - 12:00 p.m. ,"Program,Wednesday,9:00,12:00,,,,,,,1.0,Day of Month,,,",Baton Rouge
P027,Every 1st Saturday of month 7:30 a.m. - 9:30 a.m.,"Program,Saturday,7:30,9:30,,,,,,,1.0,Day of Month,,,",Baton Rouge
P028,3rd Saturday 10:00 a.m. - 12:00 p.m.,"Program,Saturday,10:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P029,2nd Saturday 9:00 a.m. - 10:30 a.m. ,"Program,Saturday,9:00,10:30,,,,,,,2.0,Day of Month,,,",Baton Rouge
P030,2nd Tuesday 9:00 a.m. - 11:00 a.m.,"Program,Tuesday,9:00,11:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P031,1st & last Sunday each month,"Program,Sunday,,,,,,,,,1.0,Day of Month,,,;Program,Sunday,,,,,,,,,5.0,Day of Month,,,",Baton Rouge
P032,Monday - Friday 12:00 p.m. - 1:00 p.m.,"Program,Monday,12:00,13:00,,,,,,,,Weekly,,,;Program,Tuesday,12:00,13:00,,,,,,,,Weekly,,,;Program,Wednesday,12:00,13:00,,,,,,,,Weekly,,,;Program,Thursday,12:00,13:00,,,,,,,,Weekly,,,;Program,Friday,12:00,13:00,,,,,,,,Weekly,,,",Baton Rouge
